,ATHENA vs COMET (all-cause death),,,,,,ATHENA vs COMET (composite outcome),,,,,,ATHENA vs DIG (all-cause death),,,,,,,ATHENA vs DIG (composite outcome),,,,,
,ATHENA ,,,COMET ,,,ATHENA ,,,COMET ,,,ATHENA ,,,,DIG ,,,ATHENA ,,,DIG ,,
,coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI),,coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI),coefficients,standard error,AFT (95%CI)
mu,2.78,0.05,--,3.19,0.12,--,0.39,0.06,--,0.9,0.1,--,,2.49,0.04,--,2.82,0.08,--,0.06,0.18,--,8.6,0.1,--
sigma,0.25,0.02,--,0.4,0.1,--,0.59,0.02,--,0.59,0.05,--,,0.25,0.02,--,0.56,0.08,--,1.46,0.07,--,0.86,0.1,--
Q ,0.8,0.04,--,0.58,0.11,--,0.67,0.04,--,0.35,0.07,--,,0.8,0.04,--,0.22,0.09,--,-1.92,0.09,--,0.08,0.09,--
History of diabetes,-0.29,0.04,"0.75 (0.69, 0.81)",-0.32,0.09,"0.73 (0.61, 0.87)",-0.32,0.05,"0.72 (0.65, 0.80)",-0.45,0.08,"0.64 (0.54, 0.75)",,-0.34,0.04,"0.71 (0.66, 0.77)",-0.4,0.06,"0.67 (0.59, 0.76)",-0.51,0.12,"0.60 (0.47, 0.76)",-0.7,0.08,"0.50 (0.43, 0.58)"
Age*,-0.53,0.02,"0.59 (0.57, 0.61)",-0.46,0.05,"0.63 (0.57, 0.7)",-0.21,0.02,"0.81 (0.77, 0.84)",-0.34,0.04,"0.71 (0.65, 0.77)",,-0.49,0.02,"0.61 (0.59, 0.64)",-0.26,0.03,"0.77 (0.72, 0.82)",-0.1,0.05,"0.91 (0.82, 1.00)",-0.18,0.04,"0.84 (0.77, 0.91)"
Frusemide*,-0.2,0.02,"0.82 (0.78, 0.86)",-0.11,0.04,"0.9 (0.84, 0.96)",-0.18,0.03,"0.84 (0.79, 0.89)",-0.09,0.03,"0.91 (0.85, 0.97)",,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
male,-0.1,0.04,"0.91 (0.84, 0.98)",-0.46,0.11,"0.65 (0.53, 0.81)",0.07,0.04,"1.07 (0.98, 1.17)",-0.09,0.09,"0.91 (0.76, 1.09)",,-0.12,0.04,"0.89 (0.83, 0.96)",-0.4,0.07,"0.67 (0.58, 0.77)",0.09,0.1,"1.09 (0.89, 1.34)",-0.15,0.09,"0.86 (0.72, 1.02)"
Heart rate*,-0.06,0.02,"0.94 (0.91, 0.98)",-0.05,0.04,"0.95 (0.88, 1.03)",-0.03,0.02,"0.97 (0.92, 1.01)",-0.01,0.04,"0.99 (0.92, 1.07)",,-0.06,0.02,"0.94 (0.91, 0.97)",-0.16,0.03,"0.86 (0.81, 0.91)",-0.04,0.05,"0.96 (0.88, 1.06)",-0.36,0.04,"0.70 (0.65, 0.75)"
Sodium*,0.1,0.02,"1.11 (1.07, 1.14)",0.28,0.04,"1.32 (1.22, 1.43)",0.13,0.02,"1.14 (1.10, 1.19)",0.18,0.04,"1.20 (1.11, 1.29)",, --,-- ,-- ,-- ,-- ,-- , --,-- ,-- ,-- ,-- ,-- 
eGFR*,0.12,0.02,"1.13 (1.09, 1.18)",0.3,0.05,"1.35 (1.22, 1.49)",0.13,0.02,"1.14 (1.09, 1.19)",0.21,0.04,"1.23 (1.13, 1.34)",,0.14,0.02,"1.15 (1.11, 1.19)",0.31,0.03,"1.37 (1.29, 1.46)",0.09,0.04,"1.10 (1.00, 1.19)",0.41,0.04,"1.50 (1.39, 1.63)"
SBP*,0.14,0.02,"1.15 (1.11, 1.18)",0.31,0.05,"1.37 (1.25, 1.49)",0.16,0.02,"1.17 (1.13, 1.22)",0.23,0.04,"1.26 (1.17, 1.36)",Low SBP*,-0.1,0.01,"0.91 (0.88, 0.93)",-0.25,0.03,"0.78 (0.73, 0.82)",-0.23,0.04,"0.80 (0.74, 0.86)",-0.34,0.04,"0.71 (0.66, 0.77)"
,,,,,,,,,,,,,High SBP*,0.08,0.02,"1.09 (1.04, 1.13)",0.07,0.03,"1.08 (1.01, 1.15)",0.21,0.05,"1.23 (1.11, 1.37)",0.06,0.04,"1.06 (0.98, 1.14)"
