,COMET (all-cause death),,COMET (all-cause death or hospitalisation),,DIG (all-cause death),,,DIG (composite),
,coefficients,HR (95%CI),coefficients,HR (95%CI),,coefficients,HR (95%CI),coefficients,HR (95%CI)
treatment ,0.16,"1.17 (0.78, 1.76)",0.3,"1.35 (0.97, 1.87)",,-0.17,"0.85 (0.65, 1.11)",0.29,"1.33 (0.96, 1.84)"
treat by male,0.11,"1.11 (0.73, 1.70)",-0.26,"0.76(0.53, 1.07)",,0.27,"1.31 (0.99, 1.74)",0.49,"1.63 (1.15, 2.31)"
treat by age,0.03,"1.03 (0.84, 1.26)",-0.09,"0.92(0.84, 1.01)",,0.02,"1.02 (0.89, 1.15)",-0.02,"0.98 (0.84, 1.15)"
treat by Diabetes,-0.05,"0.95 (0.66, 1.37)",-0.07,"0.93(0.67, 1.29)",,-0.1,"0.90 (0.71, 1.15)",-0.22,"0.81 (0.59, 1.10)"
treat by frusemide,-0.07,"0.94 (0.82, 1.07)",-0.03,"0.97(0.84, 1.11)",,--,--,--,--
treat by sodium,-0.14,"0.87 (0.74, 1.01)",0.01,"1.01(0.87, 1.16)",,--,--,--,--
treat by egfr,0.23,"1.25 (1.03, 1.52)",0.05,"1.05(0.89, 1.23)",,-0.04,"0.97 (0.85, 1.09)",-0.12,"0.89 (0.76, 1.04)"
treat by sbp,0.12,"1.13 (0.95, 1.34)",0.07,"1.07(0.93, 1.24)",treat by lowsbp,-0.05,"0.95 (0.85, 1.06)",0.08,"1.08 (0.94, 1.26)"
,,,,,treat by highsbp,-0.09,"0.92 (0.81, 1.03)",-0.12,"0.89 (0.76, 1.03)"
treat by heart,0.06,"1.06 (0.90, 1.25)",0.12,"1.13(0.98, 1.31)",,0.07,"1.07 (0.96, 1.20)",0.12,"1.12 (0.97, 1.30)"
